序号,刊名,收录,2023IF,JCR分区,中科院分区
77 ,PSYCHOLOGY OF SPORT AND EXERCISE,SSCI,3.1 ,Q2,2区
78 ,JOURNAL OF PERSONALITY,SSCI,3.2 ,Q1,2区
79 ,PSYCHOLOGY OF WOMEN QUARTERLY,SSCI,2.5 ,Q2,2区
80 ,Social Psychological and Personality Science,SSCI,4.3 ,Q1,2区
81 ,EMOTION,SSCI,3.4 ,Q1,2区
82 ,COGNITION AND INSTRUCTION,SSCI,2.3 ,Q2,2区
83 ,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,SSCI,4.7 ,Q1,2区
84 ,BRITISH JOURNAL OF PSYCHOLOGY,SSCI,3.2 ,Q1,2区
85 ,JOURNAL OF CAREER ASSESSMENT,SSCI,2.8 ,Q2,2区
86 ,JOURNAL OF CREATIVE BEHAVIOR,SSCI,2.8 ,Q2,2区
87 ,SCHOOL PSYCHOLOGY REVIEW,SSCI,3.9 ,Q1,2区
88 ,Psychosocial Intervention,SSCI,3.6 ,Q1,2区
89 ,INTELLIGENCE,SSCI,3.3 ,Q1,2区
90 ,Journal of Happiness Studies,SSCI,3.1 ,Q1,2区
91 ,Psychology of Men & Masculinities,SSCI,2.7 ,Q2,2区
92 ,Cultural Diversity & Ethnic Minority Psychology,SSCI,3.2 ,Q1,2区
93 ,SOCIAL PSYCHOLOGY QUARTERLY,SSCI,2.1 ,Q3,2区
94 ,PSYCHOLOGICAL ASSESSMENT,SSCI,3.3 ,Q1,2区
95 ,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,SSCI,3.4 ,Q1,2区
96 ,GROUP PROCESSES & INTERGROUP RELATIONS,SSCI,4.0 ,Q1,2区
97 ,Psychology of Sexual Orientation and Gender Diversity,SSCI,3.6 ,Q1,2区
98 ,ENVIRONMENT AND BEHAVIOR,SSCI,5.2 ,Q1,2区
99 ,DEVELOPMENT AND PSYCHOPATHOLOGY,SSCI,3.1 ,Q2,2区
100 ,JOURNAL OF BUSINESS AND PSYCHOLOGY,SSCI,3.7 ,Q1,2区
101 ,DISCOURSE PROCESSES,SSCI,2.1 ,Q2,2区
102 ,Behavior Research Methods,SSCI,4.6 ,Q1,2区
103 ,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,SSCI,4.9 ,Q1,2区
104 ,Identity-An International Journal of Theory and Research,ESCI,2.2 ,Q3,2区
105 ,MUSIC PERCEPTION,SSCI,1.3 ,Q4,2区
106 ,Journal of Black Psychology,SSCI,2.5 ,Q2,2区
107 ,Applied Psychology-Health and Well Being,SSCI,3.8 ,Q1,2区
108 ,JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,SSCI,1.4 ,Q1,2区
109 ,Current Opinion in Behavioral Sciences,SSCI,4.9 ,Q1,2区
110 ,Research on Child and Adolescent Psychopathology,SSCI,2.9 ,Q1,2区
111 ,Behavioral and Brain Functions,#N/A,#N/A,#N/A,2区
112 ,European Journal of Work and Organizational Psychology,SSCI,4.0 ,Q1,2区
113 ,JOURNAL OF APPLIED SPORT PSYCHOLOGY,SSCI,2.7 ,Q2,2区
114 ,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,SSCI,2.1 ,Q2,2区
115 ,FEMINISM & PSYCHOLOGY,SSCI,2.2 ,Q2,2区
116 ,Evolutionary Human Sciences,#N/A,#N/A,#N/A,2区
117 ,ASSESSMENT,SSCI,3.5 ,Q1,2区
118 ,CORTEX,SSCI,3.2 ,Q1,2区
119 ,AGGRESSION AND VIOLENT BEHAVIOR,SSCI,3.4 ,Q1,2区
120 ,Journal of Applied Research in Memory and Cognition,SSCI,2.8 ,Q1,2区
121 ,Journal of Contextual Behavioral Science,SSCI,3.4 ,Q1,2区
122 ,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,SSCI,3.2 ,Q1,2区
123 ,MEDIA PSYCHOLOGY,SSCI,3.4 ,Q1,2区
124 ,Journal of Positive Psychology,SSCI,3.4 ,Q1,2区
125 ,PSYCHOANALYTIC QUARTERLY,SSCI,0.7 ,Q2,2区
126 ,Asian American Journal of Psychology,SSCI,2.4 ,Q2,2区
127 ,COGNITIVE BEHAVIOUR THERAPY,SSCI,4.3 ,Q1,2区
128 ,ANNALS OF BEHAVIORAL MEDICINE,SSCI,3.6 ,Q1,2区
129 ,AGGRESSIVE BEHAVIOR,SSCI,2.7 ,Q1,2区
130 ,CREATIVITY RESEARCH JOURNAL,SSCI,2.5 ,Q2,2区
131 ,JOURNAL OF RESEARCH IN PERSONALITY,SSCI,2.6 ,Q2,2区
132 ,International Journal of Art Therapy,ESCI,2.3 ,Q2,2区
133 ,JOURNAL OF ADOLESCENCE,SSCI,3.0 ,Q2,2区
134 ,Personality Disorders-Theory Research and Treatment,SSCI,3.0 ,Q1,2区
135 ,Qualitative Research in Psychology,SSCI,4.6 ,Q1,2区
136 ,Computers in Human Behavior Reports,ESCI,4.9 ,Q1,2区
137 ,EUROPEAN EATING DISORDERS REVIEW,SSCI,3.9 ,Q1,2区
138 ,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,SSCI,2.4 ,Q2,2区
139 ,JOURNAL OF FAMILY PSYCHOLOGY,SSCI,2.3 ,Q2,2区
140 ,Sport Exercise and Performance Psychology,SSCI,2.6 ,Q2,2区
141 ,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,SSCI,3.5 ,Q1,2区
142 ,Mindfulness,SSCI,3.1 ,Q1,2区
143 ,JOURNAL OF SEX RESEARCH,SSCI,2.7 ,Q2,2区
144 ,ATTACHMENT & HUMAN DEVELOPMENT,SSCI,3.3 ,Q1,2区
145 ,HEALTH PSYCHOLOGY,SSCI,3.1 ,Q1,2区
146 ,INTERNATIONAL JOURNAL OF PSYCHOLOGY,SSCI,3.3 ,Q1,2区
147 ,PSYCHOPHYSIOLOGY,SSCI,2.9 ,Q1,2区
148 ,School Psychology,SSCI,3.9 ,Q1,2区
149 ,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,SSCI,2.8 ,Q2,2区
150 ,STRESS AND HEALTH,SSCI,3.0 ,Q2,2区
151 ,PSICOTHEMA,SSCI,3.2 ,Q1,2区
152 ,PSYCHOMETRIKA,SSCI,2.9 ,Q1,2区
153 ,Revista Iberoamericana de Psicologia y Salud,ESCI,2.4 ,Q2,2区
154 ,Perspectives on Behavior Science,SSCI,2.5 ,Q2,2区
155 ,Motivation Science,SSCI,3.0 ,Q1,2区
156 ,PERSONALITY AND INDIVIDUAL DIFFERENCES,SSCI,3.5 ,Q1,2区
157 ,PSYCHONOMIC BULLETIN & REVIEW,SSCI,3.2 ,Q1,2区
158 ,npj Science of Learning,SSCI,3.6 ,Q1,2区
159 ,Topics in Cognitive Science,SSCI,2.9 ,Q1,2区
160 ,Cognitive Research-Principles and Implications,SSCI,3.4 ,Q1,2区
161 ,Acta Psychologica Sinica,ESCI,1.3 ,Q3,2区
162 ,INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,SSCI,1.2 ,Q1,3区
163 ,BMC Psychology,SSCI,2.7 ,Q1,3区
164 ,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,SSCI,2.1 ,Q2,3区
165 ,MULTIVARIATE BEHAVIORAL RESEARCH,SSCI,5.3 ,Q1,3区
166 ,INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT,SSCI,2.4 ,Q2,3区
167 ,European Journal of Investigation in Health Psychology and Education,ESCI,3.0 ,Q1,3区
168 ,JOURNAL OF CLINICAL PSYCHOLOGY,SSCI,2.5 ,Q2,3区
169 ,MIND & LANGUAGE,SSCI,1.8 ,Q3,3区
170 ,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,SSCI,2.2 ,Q2,3区
171 ,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,SSCI,3.2 ,Q1,3区
172 ,Review of Philosophy and Psychology,ESCI,1.8 ,Q2,3区
173 ,Emotion Review,SSCI,3.0 ,Q1,3区
174 ,Journal of Intelligence,SSCI,2.8 ,Q1,3区
175 ,JOURNAL OF INTERPERSONAL VIOLENCE,SSCI,2.6 ,Q2,3区
176 ,BEHAVIORAL DISORDERS,SSCI,2.1 ,Q2,3区
177 ,Psychological Trauma-Theory Research Practice and Policy,SSCI,2.7 ,Q2,3区
178 ,Psychology of Violence,SSCI,2.4 ,Q2,3区
179 ,JOURNAL OF COUNSELING AND DEVELOPMENT,SSCI,2.3 ,Q2,3区
180 ,HUMAN PERFORMANCE,SSCI,2.9 ,Q2,3区
181 ,PSYCHOTHERAPY,SSCI,2.6 ,Q2,3区
182 ,Journal of Latinx Psychology,SSCI,2.1 ,Q2,3区
183 ,Parenting-Science and Practice,SSCI,2.3 ,Q2,3区
184 ,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,SSCI,2.7 ,Q2,3区
185 ,New Directions for Child and Adolescent Development,SSCI,3.4 ,Q1,3区
186 ,INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,SSCI,2.1 ,Q3,3区
187 ,JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,SSCI,2.2 ,Q2,3区
188 ,JOURNAL OF FAMILY VIOLENCE,SSCI,2.7 ,Q2,3区
189 ,THINKING & REASONING,SSCI,2.5 ,Q2,3区
190 ,JOURNAL OF PERSONALITY ASSESSMENT,SSCI,2.8 ,Q2,3区
191 ,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,SSCI,2.3 ,Q2,3区
192 ,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,SSCI,1.8 ,Q3,3区
193 ,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,SSCI,2.7 ,Q2,3区
194 ,JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,SSCI,3.2 ,Q1,3区
195 ,History of Psychology,SSCI,1.1 ,Q3,3区
196 ,INFANCY,SSCI,2.0 ,Q3,3区
197 ,Review Journal of Autism and Developmental Disorders,SSCI,2.9 ,Q2,3区
198 ,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,SSCI,3.8 ,Q1,3区
199 ,Psychology of Music,SSCI,1.6 ,Q3,3区
200 ,Cyberpsychology Behavior and Social Networking,SSCI,4.2 ,Q1,3区
201 ,School Mental Health,SSCI,2.5 ,Q2,3区
202 ,International Journal of Sport and Exercise Psychology,SSCI,2.3 ,Q2,3区
203 ,JOURNAL OF ADOLESCENT RESEARCH,SSCI,2.2 ,Q2,3区
204 ,MEMORY & COGNITION,SSCI,2.2 ,Q2,3区
205 ,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,SSCI,1.4 ,Q4,3区
206 ,JOURNAL OF CAREER DEVELOPMENT,SSCI,2.6 ,Q2,3区
207 ,Psychological Injury & Law,ESCI,2.7 ,Q2,3区
208 ,BRAIN AND LANGUAGE,SSCI,2.1 ,Q2,3区
209 ,Organizational Psychology Review,SSCI,3.9 ,Q1,3区
210 ,Human Behavior and Emerging Technologies,ESCI,4.3 ,Q1,3区
211 ,Psychology Research and Behavior Management,SSCI,2.8 ,Q2,3区
212 ,COUNSELING PSYCHOLOGIST,SSCI,1.9 ,Q3,3区
213 ,Psychology & Sexuality,SSCI,2.4 ,Q2,3区
214 ,MEMORY,SSCI,2.2 ,Q2,3区
215 ,Journal of Poetry Therapy,ESCI,1.0 ,Q3,3区
216 ,CAREER DEVELOPMENT QUARTERLY,SSCI,2.1 ,Q3,3区
217 ,EUROPEAN PSYCHOLOGIST,SSCI,3.9 ,Q1,3区
218 ,FAMILY PROCESS,SSCI,2.6 ,Q2,3区
219 ,PSYCHOANALYTIC DIALOGUES,SSCI,0.6 ,Q2,3区
220 ,JOURNAL OF SEX & MARITAL THERAPY,SSCI,2.1 ,Q2,3区
221 ,Behavioral Sciences,SSCI,2.5 ,Q2,3区
222 ,JOURNAL OF BEHAVIORAL DECISION MAKING,SSCI,1.8 ,Q3,3区
223 ,ACTA PSYCHOLOGICA,SSCI,2.1 ,Q2,3区
224 ,COGNITIVE THERAPY AND RESEARCH,SSCI,2.8 ,Q2,3区
225 ,Cyberpsychology-Journal of Psychosocial Research on Cyberspace,SSCI,2.4 ,Q2,3区
226 ,SMALL GROUP RESEARCH,SSCI,3.0 ,Q2,3区
227 ,Industrial and Organizational Psychology-Perspectives on Science and Practice,SSCI,11.5 ,Q1,3区
228 ,AMERICAN JOURNAL OF PSYCHOTHERAPY,ESCI,2.3 ,Q2,3区
229 ,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,#N/A,#N/A,#N/A,3区
230 ,NEW IDEAS IN PSYCHOLOGY,SSCI,2.3 ,Q2,3区
231 ,Health Psychology and Behavioral Medicine,ESCI,2.4 ,Q2,3区
232 ,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,SCIE,2.6 ,Q2,3区
